Drama Name,Rating(Out of 10),Actors,Viewship Rate,Genre,Director,Writer,Year,No of Episodes,Network
Legend of the Blue Sea,8.1,"Jun Ji-hyun, Lee Min-ho",17.6,"Fantasy,Romance,Comedy","Jin Hyuk, Park Seon-Ho",Park Ji-eun,2016,21,SBS
The Heirs,7.5,"Lee Min-ho, Park Shin-hye, Kim Woo-bin",16.7,"Romance, Drama, Teen","Kang Shin-hyo, Boo Sung-chul",Kim Eun-sook,2013,20,SBS
The King: Eternal Monarch,8.3,"Lee Min-ho, Kim Go-eun, Woo Do-hwan, Kim Kyung-nam, Jung Eun-chae, Lee Jung-jin",7.7,"Romance, Fantasy, Drama","Baek Sang-hoon, Jung Ji-hyun, Yoo Je-won",Kim Eun-sook,2020,16,SBS
Boys over Flowers,7.9,"Lee Min-ho, Ku Hye-sun, Kim Hyun-joong, Kim Bum, Kim Joon, Kim So-eun",25.7,"Romance, Comedy, Drama",Jeon Ki-sang,Yoon Ji-ryun,2009,25,KBS
Guardian: the lonely and the great god,8.6,"Gong Yoo, Kim Go-eun, Lee Dong-wook, Yoo In-na, Yook Sungjae",12.81,"Fantasy, Romance, Drama","Lee Eung-bok, Kwon Hyuk-chan, Yoon Jong-ho",Kim Eun-sook,2016,18,TvN
My Secret Romance,7.1,"Sung Hoon, Song Ji-eun, Kim Jae-young",7.5,"Romance, Comedy",Kang Cheol-woo,"Kim Ha-na, Kim Young-yoon",2017,13,OCN
The bride of Habaek,6.9,"Nam Joo-hyuk, Shin Se-kyung, Lim Ju-hwan, Krystal Jung, Gong Myung",3.11,"Fantasy, Romance, Comedy",Kim Byung-soo,Jung Yoon-jung,2017,16,TvN
Heartstrings,7.2,"Park Shin-hye, Jung Yong-hwa",5.7,"Romance, Music, Drama",Pyo Min-soo,Lee Myung-sook,2011,16,MBC
Extraordinary You,7.9,"Kim Hye-joon, Rowoon, Lee Jae-wook, Lee Na-eun, Jung Gun-joo, Kim Young-dae, Lee Tae-ri ",3.2,"Fantasy, Romance, Comedy",Kim Sang-hyeop,"In Ji-hye, Song Ha-young",2019,32,MBC
W:Two Worlds Apart,8.1,"Lee Jong-suk
Han Hyo-joo

",12.87,"Fantasy, Romance, Comedy, Thriller, Action",Jung Dae-yoon,Song Jae-jung,2016,16,MBC
Strong Woman: Do Bong soo,8.2,"Park Bo-young, Park Hyung-ski, Ji soo",7.6,"Fantasy, Thriller, Action, Romance, Comedy",Lee Hyung-min,Baek Mi-kyung,2017,17,JTBC
I am not a robot,8,"Yoo Seung-ho, Chae Soo-bin, Um Ki-joon",3.6,"Romance, Comedy,Science fiction",Jung Dae-yoon,"Kim Sun-mi, Lee Seok-joon",2017,16,MBC
While you were Sleeping,8.4,"Lee Jong-suk, Bae Suzy, Jung Hae-in, Lee Sang-yeob",7.7,"Romance, Fantasy, Thriller, Comedy, Legal",Oh Choong-hwan,Park Hye-ryun,2017,16,SBS
Start Up,8.1,"Bae Suzy, Nam Joo-hyuk, Kim Seon-ho, Kang Han-na",4.62,"Workplace,Drama, Romance",Oh Choong-hwan,Park Hye-ryun,2020,,TvN
